SALE TYPE,SOLD DATE,PROPERTY TYPE,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,239500,3,2,Townewest,1296,6240,1976,8,185,30,Active,,,HARMLS,94930636,N,Y,29.6708444,-95.6249929
MLS Listing,,Single Family Residential,Sugar Land,TX,77478,430000,4,2.5,Riverbend North,3010,8319,1988,19,143,71,Active,October-23-2022 12:00 PM,October-23-2022 03:00 PM,HARMLS,46802701,N,Y,29.6050508,-95.589094
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,290000,3,2.5,Oak Lake Court,1722,5215,2006,21,168,63,Active,,,HARMLS,32748367,N,Y,29.6503631,-95.6779471
MLS Listing,,Single Family Residential,Sugar Land,TX,77478,275000,2,1,Belknap Sub Sec 6,1312,9508,1956,21,210,,Active,,,HARMLS,10882735,N,Y,29.6126731,-95.6336168
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,675000,4,3,Crown Garden At Imperial,3064,8858,2018,22,220,71,Active,,,HARMLS,52950728,N,Y,29.6288889,-95.6460621
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,459000,6,4,Riverpark Sec 12,3734,9123,2002,22,123,70,Active,,,HARMLS,28260056,N,Y,29.565855,-95.694768
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,389500,4,2,Riverpark,2679,8538,1998,17,145,75,Active,,,HARMLS,24078825,N,Y,29.5756821,-95.6765908
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,395000,3,2.5,Village Of Oak Lake Sec 4,2973,6852,2000,22,133,39,Active,,,HARMLS,61110798,N,Y,29.6467502,-95.672214
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,674900,4,3,S M Williams,2643,8407,1948,22,255,,Active,,,HARMLS,44588796,N,Y,29.6255014,-95.6312348
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,975000,5,4.5,Telfair Sec 24,4028,12549,2011,23,242,67,Active,,,HARMLS,96064466,N,Y,29.572367,-95.644686
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,289900,4,2.5,Eldridge Park Village Sec 1,2371,5191,1998,23,122,25,Active,,,HARMLS,76905967,N,Y,29.6602813,-95.621953
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,960000,5,4.5,Avalon At Riverstone Sec 18-b,4455,10812,2018,23,215,155,Active,,,HARMLS,10606489,N,Y,29.5347196,-95.6145432
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,330000,3,2,Imperial Woods,1837,11002,1972,23,180,,Active,,,HARMLS,91281194,N,Y,29.6449812,-95.6284012
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,249999,3,1,Mayfield Park,1532,4997,1964,23,163,,Active,,,HARMLS,11379114,N,Y,29.6273398,-95.6363069
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,560000,5,3.5,Lake Pointe,3306,9114,1994,23,169,88,Active,,,HARMLS,53775420,N,Y,29.5962402,-95.6634406
