addressLine1	bathrooms	bedrooms	city	county	createdDate	daysOnMarket	formattedAddress	id	lastSeen	latitude	listedDate	longitude	lotSize	price	propertyType	rawAddress	removedDate	squareFootage	state	status	yearBuilt	zipCode
2415 Hannover Valley Ct	2.5	4	Spring	Harris County	2022-08-05T14:00:11.336Z	87	2415 Hannover Valley Ct, Spring, TX 77388	2415-Hannover-Valley-Ct,-Spring,-TX-77388	2022-10-24T14:55:19.398Z	30.080433	2022-07-29T17:12:33.000Z	-95.45745	6325	439900	Single Family	2415 Hannover Valley Ct, Spring, TX 77388		2800	TX	Active	2005	77388
1015 Tackett Ct	3.5	4	Webster	Harris County	2022-09-04T14:46:28.945Z	87	1015 Tackett Ct, Webster, TX 77598	1015-Tackett-Ct,-Webster,-TX-77598	2022-10-24T14:55:19.397Z	29.527579	2022-07-29T17:52:26.000Z	-95.09841		499990	Single Family	1015 Tackett Ct, Webster, TX 77598		2518	TX	Active	2021	77598
23106 Gold Run Dr	2	3	Spring	Harris County	2022-08-05T14:00:11.303Z	87	23106 Gold Run Dr, Spring, TX 77373	23106-Gold-Run-Dr,-Spring,-TX-77373	2022-10-24T14:55:19.397Z	30.05956	2022-07-29T18:25:28.000Z	-95.367327	6120	276000	Single Family	23106 Gold Run Dr, Spring, TX 77373		1688	TX	Active	2019	77373
8834 Stable Ln	7	5	Houston	Harris County	2022-08-05T14:00:11.334Z	87	8834 Stable Ln, Houston, TX 77024	8834-Stable-Ln,-Houston,-TX-77024	2022-10-24T14:55:19.397Z	29.770834	2022-07-29T17:18:10.000Z	-95.464572	22930	6800000	Single Family	8834 Stable Ln, Houston, TX 77024		9661	TX	Active	2007	77024
2310 Lomax Dr			La Porte	Harris County	2022-08-05T14:00:06.783Z	87	2310 Lomax Dr, La Porte, TX 77571	2310-Lomax-Dr,-La-Porte,-TX-77571	2022-10-24T14:55:19.396Z	29.67977	2022-07-29T19:58:02.000Z	-95.058992	21837	150000	Land	2310 Lomax Dr, La Porte, TX 77571			TX	Active		77571
7604 Del Monte Dr	2.5	3	Houston	Harris County	2022-08-05T14:00:11.305Z	87	7604 Del Monte Dr, Houston, TX 77063	7604-Del-Monte-Dr,-Houston,-TX-77063	2022-10-24T14:55:19.396Z	29.745604	2022-07-29T17:52:26.000Z	-95.502838	2287	457000	Townhouse	7604 Del Monte Dr, Houston, TX 77063		2558	TX	Active	1970	77063
5626 Chevy Chase Dr	5	5	Houston	Harris County	2022-08-05T14:00:11.304Z	87	5626 Chevy Chase Dr, Houston, TX 77056	5626-Chevy-Chase-Dr,-Houston,-TX-77056	2022-10-24T14:55:19.396Z	29.745368	2022-07-29T18:25:28.000Z	-95.475436	12602	2395000	Single Family	5626 Chevy Chase Dr, Houston, TX 77056		5615	TX	Active	2022	77056
23603 Legacy Oak St	2.5	3	Katy	Harris County	2022-08-05T14:00:11.296Z	87	23603 Legacy Oak St, Katy, TX 77493	23603-Legacy-Oak-St,-Katy,-TX-77493	2022-10-24T14:55:19.396Z	29.81733	2022-07-29T18:44:36.000Z	-95.783577	5266	293000	Single Family	23603 Legacy Oak St, Katy, TX 77493		2069	TX	Active	2011	77493
1314 Caudle Dr			Spring Valley Village	Harris County	2022-09-10T14:24:09.165Z	87	1314 Caudle Dr, Lot 32, Spring Valley Village, TX 77055	1314-Caudle-Dr,-Lot-32,-Spring-Valley-Village,-TX-77055	2022-10-24T14:55:19.395Z	29.793676	2022-07-29T18:33:23.000Z	-95.504341	9400	795000	Land	1314 Caudle Dr Lot 32, Spring Valley Village, TX 77055			TX	Active		77055
3707 Rosemont St	2	3	Houston	Harris County	2022-08-05T14:00:06.783Z	87	3707 Rosemont St, Houston, TX 77051	3707-Rosemont-St,-Houston,-TX-77051	2022-10-24T14:55:19.395Z	29.672086	2022-07-29T20:23:51.000Z	-95.369311	5001	179900	Single Family	3707 Rosemont St, Houston, TX 77051		1152	TX	Active	1945	77051
